et,sk
ustavalt,verne
usurpeerima,uchvátiť
usutaganeja,odpadlík
usutavus,dôveryhodnosť
uurija,bádateľ
uurija,výskumník
uurija,vyšetrovateľ
uurimine,bádanie
uurimine,skúmanie
uurimine,vyšetrovanie
uus,nový
uusik,nováčik
uustulnuk,začiatočník
uustulnukas,zelenáč
vaade,vyhliadka
vaas,váza
vabadus,sloboda
vabalt,voľne
vaesus,bieda
vaesus,chudoba
vaevalt,sotva
vaevapalk,odmena
vaha,vosk
vahejuhtum,incident
vahekord,styk
vahel,medzi
vaheldus,zmena
vaheldus,striedanie
vahelduvvoolugeneraator,alternátor
vahemaa,vzdialenosť
vahend,prípravok
vahend,prostriedok
vahendaja,špiritista
vahendus,sprostredkovanie
vahetu,bezprostredný
vahetund,prestávka
vahukoor,šľahačka
vaid,no
vaid,ale
vaid,iba
vaid,jedine
vaidlema,prieť
vaidlema,hádať
vaidlema,dohadovať
vaikne,tichý
vaim,vedomie
vaimuinimene,intelektuál
vaip,koberec
vajama,potrebovať
vald,územie
vald,sféra
valdkond,oblasť
valdkond,odbor
valdkond,región
valgendi,bielidlo
valija,volič
valima,voliť
valima,vyberať
valima,vybrať
valima,zvoliť
valitseja,panovník
valjuhäälselt,hlasno
valk,bielkovina
valmistama,nachystať
valmistama,pripraviť
valmistama,vypraviť
valmistama,vyrábať
valuuta,mena
valvur,strážca
valvur,strážný
vana,starý
vanadus,staroba
vanaema,babička
vanaema,babka
vanaema,starká
vanaema,stará mama
vanaisa,dedko
vanaisa,dedo
vanaisa,starý otec
vanasti,dakedy
vanasti,niekedy
vanasti,predtým
vang,väzeň
vang,zajatec
vang,trestanec
vangerdus,rošáda
vangistama,uväzniť
vanglakaristus,izolácia
vanillikaste,puding
vanne,prísaha
vanur,starec
vanus,vek
varastama,vykradnúť
varastama,ukradnúť
varastama,kradnúť
varatus,bieda
vare,kopa
varjama,tajiť
varjama,skrývať
varjama,cloniť
vasak,ľavý
vasakult,zľava
vasall,vazal
vastama,opätovať
vastama,odpovedať
vastama,zodpovedať
vastandlikkus,kontrast
vastastikune,vzájomný
vastu puiklema,váhať
vastukaja,dopad
vastupidine,opačný
vastupidine,obrátený
vatt,vata
vedel,tekutý
vedel,riedky
vedel,kvapalný
vedelik,tekutina
vedelik,kvapalina
veebruarikuu,február
veekindel,vodotesný
veekindel,vodeodolný
veekindel,nepremokavý
veerand,štvrťka
veerand,štvrtina
vembumees,podvodník
vend,mních
vend,braček
vend,brat
venima,ťahať
venitama,natiahnuť
venitama,pretiahnuť
venitus,strečing
venitus,naťahovanie
venitus,preťahovanie
ventiil,ventil
ventilaator,ventilátor
ventilaator,vetrák
vererõhk,tlak
vererõhk,krvný tlak
verine,krvavý
versioon,verzia
viaal,ampulka
viga,omyl
viga,chyba
vigastus,zranenie
vihane,nahnevaný
vihaselt,nahnevane
vihaselt,naštvane
vihaselt,rozčúlene
vihjama,naznačiť
vihjama,naznačovať
vihje,narážka
vihje,náznak
vihje,tip
vihm,zrážky
vihmavari,dáždnik
viil,krajec
viil,koliesko
viil,plátok
viil,pilník
viima,odviesť
viima,doviesť
viima,viesť
viima,zaviezť
viisakas,zdvorilý
viiskümmend,päťdesiat
viisnurk,päťuholník
viissada,päťsto
viisteist,pätnásť
viitsepresident,podpredseda
viitsepresident,viceprezident
viivitus,meškanie
viivitus,oneskorenie
viivitus,omeškanie
viivitus,zdržanie
viivuke,chvíľa
vikat,kosa
vili,plod
vili,obilnina
vili,obilie
villane,vlnený
virgutav,osviežujúci
virisema,sťažovať
virisema,fňukať
virisema,mrnčať
volitamata,neoprávnený
voodipesu,posteľné
voolama,prúdiť
voolama,tiecť
voor,kolo
vooruslikkus,bezhriešnosť
vooruslikkus,nevinnosť
vorst,klobása
väejooksik,zbeh
väejooksik,dezertér
vägi,sila
vägivald,násilie
vägivaldselt,násilne
vähe,málo
vähe,trocha
vähe,trochu
vähem,menej
vähenemine,klesanie
vähk,rak
vähk,rakovina
väide,tvrdenie
väide,výrok
väike,drobný
väike,malý
väikemees,syn
väiklus,malichernosť
väle,čulý
väliselt,zvonka
väljaanne,vydanie
väljaanne,edícia
väljaminek,výdavok
väljatõugatu,vyvrheľ
väljavalitu,ženích
väljavalitud,vybraný
väljavalitud,vyvolený
väljavalitud,zvolený
väntorel,verklík
värske,čerstvý
värvaine,farbivo
värvaine,farba
värvaine,zafarbenie
värving,odtieň
väsimus,ukonanosť
väsitama,unaviť
väsitav,únavný
vääriti,zle
väärtuslik,hodnotný
väärtuslik,cenný
võhiklikkus,neznalosť
või,maslo
või,či
või,alebo
võileib,sendvič
võim,vláda
võimalikult,eventuálne
võimalikult,možne
võimalikult,možno
võimalus,potenciál
võimatu,nereálny
võimatu,nezrealizovateľný
võimatu,nemožný
võime,sila
võime,schopnosť
võime,vloha
võimekas,schopný
võimetus,neschopnosť
võimlema,zacvičiť
võimlema,cvičiť
võistkond,mužstvo
võistkond,tím
võistkond,družstvo
võit,víťazstvo
võitma,zvíťaziť
võitma,vyhrať
võitma,vydobyť
võlad,pohľadávka
võlakiri,zmenka
võlakiri,dlhopis
võlg,dlh
võltsima,sfalšovať
võltsima,falšovať
võlu,šarm
võlu,čaro
võlur,mág
võrdeline,úmerný
võrdsus,rovnosť
võrk,sieť
võrre,úmera
võrreldamatu,neporovnateľný
võrreldamatult,neporovnateľne
võsu,potomok
võtma,užívať
võtma,pripraviť
võtma,nabrať
võtma,brať
võtma,vziať
võtma,zabrať
võtma,zobrať
vöö,remeň
vöö,opasok
vöö,pás
ähvardama,hroziť
ähvardama,pohroziť
ähvardama,vyhrážať
äkki,náhle
äkki,odrazu
äkki,znenazdania
äkki,zrazu
ängistus,úzkosť
äratama,prebudiť
äratama,zobudiť
äratama,vyvolať
äratama,budiť
äratama,podnietiť
äratama,prebrať
äri,biznis
äri,podnikanie
ärimees,podnikateľ
ärimees,obchodník
äärelinn,periféria
õbluke,štíhly
õepoeg,synovec
õhtu,večer
õhtupoolik,podvečer
õhtupoolik,popoludnie
õhuke,tenký
õhupall,balónik
õhupall,balón
õhusõiduk,lietadlo
õhutama,vyzvať
õhutamine,podnecovanie
õigeaegselt,načas
õigeks mõistma,ospravedlniť
õiglane,spravodlivý
õiglane,čestný
õiglane,férový
õigus,nárok
õigus,právo
õlekõrs,slama
õlimaal,olejomaľba
õlipuu,olivovník
õlletehas,pivovar
õlu,pivo
õmblus,šev
õmblus,šitie
õndsus,blaženosť
õnnelikult,šťastne
õnnitlema,blahoželať
õnnitlema,gratulovať
õnnitlus,gratulácia
õnnitlus,blahoželanie
õpetaja,učiteľ
õpetamine,vyučovanie
õpetamine,učenie
õpingud,štúdium
õppe,študijný
õppur,študent
õudne,strašidelný
õudne,hrôzostrašný
õudne,hrozný
õudne,desivý
õudne,čudný
õun,jablko
õõnes,dutý
öökull,sova
ööpimedus,noc
ööpäev,deň
ühehäälselt,jednomyseľne
ühekordne,jednorazový
üheksa,deväť
üheksasada,deväťsto
üheksateist,devätnásť
ühendama,prepojiť
ühendama,zlúčiť
ühendama,zjednotiť
ühendama,zapojiť
ühendama,spojiť
ühendama,napojiť
ühendus,jednota
ühendus,unifikácia
ühesugune,jednoliaty
ühesugune,rovanký
ühiselt,spoločne
ühistransport,doprava
ühistransport,hromadná doprava
ühistransport,mhd
ükskord,niekedy
ükskord,raz
ükskõikne,ľahostajný
üksnes,výlučne
ükssada,sto
üksus,jednotka
ülbus,namyslenosť
ülbus,arogancia
üle,cezo
üle,nado
üle,nad
üle,cez
üleeile,predvčerom
üleilmastumine,globalizácia
ülekanne,vysielanie
ülekanne,prenos
ülekäigurada,priechod
ülekäigurada,zebra
ülemaailmne,celosvetový
ülemaailmne,globálny
üles,hore
üles,nahor
ülesanne,cvičenie
ülesanne,príklad
ülesanne,úloha
ületama,zdolať
ületama,presiahnuť
ületama,prevýšiť
ületama,predstihnúť
ületama,prekročiť
ületama,prekonať
ülevaade,prehľad
ülevaatus,kontrola
ülevaatus,inšpekcia
ülevaatus,prehliadka
üleval,hore
ülevõim,nadvláda
ülitundlikkus,precitlivenosť
üliõpilane,študent
üllatama,prekvapiť
üllatama,udiviť
üllatus,prekvapenie
ümarus,guľatosť
ümbermõõt,obvod
üterbium,yterbium
ütrium,ytrium
üür,nájom
üür,nájomné
üürnik,nájomník
šabloon,šablóna
šampoon,šampón
šassii,podvozok
šifoon,šifón
šokk,otras
šokolaad,čokoláda
