cs,sk
části,diely
části,súčiastky
čínu,čínu
řada,rad
řada,séria
řada,edícia
řepa,cvikla
řezník,mäsiar
řeřicha,žerucha
řešit,zaoberať
řešit,riešť
řidič,šofér
řád,rad
řád,poriadok
řád,rád
řádky,riadky
říct,povedať
říjen,október
říkat,volať
říkat,vravieť
říkat,hovoriť
říkat,nazývať
řízek,rezeň
říše,impérium
říše,ríša
šedá,sivá
šedý,sivý
šesté,šieste
šití,šitie
štola,štôlňa
štěstí,šťastie
žaludeční,žalúdočný
ždímat,žmýkať
železnic,železníc
želva,korytnačka
živočichové,živočíchy
žádoucí,žiaduci
žízeň,smäd
žíznivý,smädný
